tokens;labels;text;DMC
[1877, 808, 1032, 4, 273, 362, 2812, 163, 3, 443, 211, 1877, 808, 1597, 575, 1598];48;Табличка изготовителя устанавливается на правой панели боковины кабины, в нижней части. Табличка изготовителя содержит следующие данные:;DMC-URALM-A-00-00-00-00A-018A-A
[2505, 846, 594, 4, 237, 368, 3466, 169, 3, 467, 217, 2505, 846, 1753, 428, 465];48;Табличка изготовителя устанавливается на правой панели боковины кабины, в нижней части. Табличка изготовителя содержит следующие данные:;DMC-URALM-A-00-00-00-00A-018A-A
[511, 1878, 141, 1873, 1595, 1878, 141, 697];49;номер одобрения типа транспортного средства (одобрения типа шасси).;DMC-URALM-A-00-00-00-00A-018A-A
[511, 2506, 141, 2503, 1750, 2506, 141, 771];49;номер одобрения типа транспортного средства (одобрения типа шасси).;DMC-URALM-A-00-00-00-00A-018A-A
[14, 2813, 698, 1599, 209, 1178, 164, 1596, 694, 129, 1879, 141, 1880, 1177, 2814, 3, 1179, 516, 211, 8, 37, 28, 7, 336, 5, 230, 14, 27, 1881];50;По желанию потребителя имеется техническая возможность установки тягово-сцепного устройства (ТСУ) типа «крюк-петля» (поставляется в качестве запасных частей к автомобилям «Урал») для эксплуатации с прицепами по ГОСТ 2349-75 типоразмер 3.;DMC-URALM-A-00-00-00-00A-018A-A
[14, 3467, 773, 638, 189, 975, 170, 1752, 768, 132, 1879, 141, 1880, 1501, 2507, 3, 1502, 559, 217, 8, 43, 29, 7, 354, 5, 230, 14, 27, 1881];50;По желанию потребителя имеется техническая возможность установки тягово-сцепного устройства (ТСУ) типа «крюк-петля» (поставляется в качестве запасных частей к автомобилям «Урал») для эксплуатации с прицепами по ГОСТ 2349-75 типоразмер 3.;DMC-URALM-A-00-00-00-00A-018A-A
[890, 694, 1600, 1180, 18, 14, 27, 660, 38, 2, 809, 699, 14, 27, 7, 2815, 700, 4, 2816, 1033, 1882, 517];51;Полуприцепов - сцепной шкворень диаметром А по ГОСТ 12017-81, равным 50,8 мм, и присоединительные размеры по ГОСТ 12105-74 для номинальной нагрузки на седло свыше 83,3 кН (8,5 тс).;DMC-URALM-A-00-00-00-00A-018A-A
[890, 768, 2508, 1180, 18, 14, 27, 681, 38, 2, 847, 699, 14, 27, 7, 3468, 976, 4, 3469, 1099, 1882, 517];51;Полуприцепов - сцепной шкворень диаметром А по ГОСТ 12017-81, равным 50,8 мм, и присоединительные размеры по ГОСТ 12105-74 для номинальной нагрузки на седло свыше 83,3 кН (8,5 тс).;DMC-URALM-A-00-00-00-00A-018A-A
[1594, 1027, 700, 4, 701, 694, 129];52;максимальная допустимая нагрузка на седельно-сцепное устройство;DMC-URALM-A-00-00-00-00A-018A-A
[1749, 1094, 976, 4, 774, 768, 132];52;максимальная допустимая нагрузка на седельно-сцепное устройство;DMC-URALM-A-00-00-00-00A-018A-A
[2817];53;Введение;DMC-URALM-A-00-00-00-00A-018A-A
[3470];53;Введение;DMC-URALM-A-00-00-00-00A-018A-A
[103, 140, 47, 28];54;АО «Автомобильный завод «УРАЛ»;DMC-URALM-A-00-00-00-00A-018A-A
[18, 144, 47, 29];54;АО «Автомобильный завод «УРАЛ»;DMC-URALM-A-00-00-00-00A-018A-A
[22, 1181, 104, 97, 1182, 1183, 1883, 25, 20];55;Attribute frontMatterType - Type of front matter content (Chap 3.9.6.1, Table 18);DMC-URALM-D-00-00-00-00A-022A-A
[518, 1184];56;Перед рейсом;DMC-URALM-D-00-00-00-00A-022A-A
[22, 1185, 104, 97, 1884, 25, 20];57;Attribute emphasisType - Type of emphasis (Chap 3.9.6.1, Table 16);DMC-URALM-D-00-00-00-00A-022A-A
[1186];58;//@limitUnitType;DMC-URALM-D-00-00-00-00A-022A-A
[22, 1187, 1885, 702, 104, 25, 20];59;Attribute quantityType - Quantity data type (Chap 3.9.6.1, Table 39);DMC-URALM-D-00-00-00-00A-022A-A
[2818, 416, 516, 204, 1601, 3, 1886, 1887];60;Отправка снятой запасной детали, возможно, в цех заказчика;DMC-URALM-D-00-00-00-00A-022A-A
[3471, 495, 559, 1100, 975, 3, 1886, 1887];60;Отправка снятой запасной детали, возможно, в цех заказчика;DMC-URALM-D-00-00-00-00A-022A-A
[22, 1188, 1888, 212, 25, 20];61;Attribute taskCode - Task code (Chap 3.9.6.1, Table 61);DMC-URALM-D-00-00-00-00A-022A-A
[702, 212];62;Data Code;DMC-URALM-D-00-00-00-00A-022A-A
[2819, 272];63;Испытательное оборудование;DMC-URALM-D-00-00-00-00A-022A-A
[3472, 278];63;Испытательное оборудование;DMC-URALM-D-00-00-00-00A-022A-A
[1889, 2820];64;Принято частично;DMC-URALM-D-00-00-00-00A-022A-A
[2509, 3473];64;Принято частично;DMC-URALM-D-00-00-00-00A-022A-A
[417];65;Напряжение;DMC-URALM-D-00-00-00-00A-022A-A
[429];65;Напряжение;DMC-URALM-D-00-00-00-00A-022A-A
[1187];66;//@quantityType;DMC-URALM-D-00-00-00-00A-022A-A
[442, 204];67;Основная деталь;DMC-URALM-D-00-00-00-00A-022A-A
[329, 266];67;Основная деталь;DMC-URALM-D-00-00-00-00A-022A-A
[22, 1189, 1890, 519, 97, 90, 1190, 25, 20];68;Attribute commentPriorityCode - Priority level of a comment (Chap 3.9.6.1, Table 11);DMC-URALM-D-00-00-00-00A-022A-A
[2821];69;Отбраковано;DMC-URALM-D-00-00-00-00A-022A-A
[3474];69;Отбраковано;DMC-URALM-D-00-00-00-00A-022A-A
[1191, 1034, 1035];70;Причина новой редакции;DMC-URALM-D-00-00-00-00A-022A-A
[1503, 1101, 1102];70;Причина новой редакции;DMC-URALM-D-00-00-00-00A-022A-A
[1602, 340];71;Сжатые газы;DMC-URALM-D-00-00-00-00A-022A-A
[977, 340];71;Сжатые газы;DMC-URALM-D-00-00-00-00A-022A-A
[14, 576];72;По состоянию;DMC-URALM-D-00-00-00-00A-022A-A
[14, 601];72;По состоянию;DMC-URALM-D-00-00-00-00A-022A-A
[877];73;Месяц;DMC-URALM-D-00-00-00-00A-022A-A
[703];74;EAN-13;DMC-URALM-D-00-00-00-00A-022A-A
[1192];75;//@cancelCaption;DMC-URALM-D-00-00-00-00A-022A-A
[882, 74];76;Дополнительная работа;DMC-URALM-D-00-00-00-00A-022A-A
[770, 89];76;Дополнительная работа;DMC-URALM-D-00-00-00-00A-022A-A
[1036, 2822, 444, 520];77;Имя сущности XML/SGML;DMC-URALM-D-00-00-00-00A-022A-A
[1103, 3475, 444, 520];77;Имя сущности XML/SGML;DMC-URALM-D-00-00-00-00A-022A-A
[2823, 808];78;Рекомендация изготовителя;DMC-URALM-D-00-00-00-00A-022A-A
[3476, 846];78;Рекомендация изготовителя;DMC-URALM-D-00-00-00-00A-022A-A
[2824, 2825];79;Совершенно секретно;DMC-URALM-D-00-00-00-00A-022A-A
[3477, 2510];79;Совершенно секретно;DMC-URALM-D-00-00-00-00A-022A-A
[22, 1193, 1891, 1892, 25, 20];80;Attribute accessPointTypeValue - Access point (Chap 3.9.6.1, Table 2);DMC-URALM-D-00-00-00-00A-022A-A
[1603, 891, 704, 3, 121, 1603, 891];81;Условное обозначение (кандидат в перечень условных обозначений);DMC-URALM-D-00-00-00-00A-022A-A
[1754, 978, 704, 3, 135, 1754, 978];81;Условное обозначение (кандидат в перечень условных обозначений);DMC-URALM-D-00-00-00-00A-022A-A
[1194, 1037, 699];82;Больший/меньший размер;DMC-URALM-D-00-00-00-00A-022A-A
[1755, 1746, 699];82;Больший/меньший размер;DMC-URALM-D-00-00-00-00A-022A-A
[1195];83;Таблица;DMC-URALM-D-00-00-00-00A-022A-A
[1504];83;Таблица;DMC-URALM-D-00-00-00-00A-022A-A
[2826];84;Базовый;DMC-URALM-D-00-00-00-00A-022A-A
[3478];84;Базовый;DMC-URALM-D-00-00-00-00A-022A-A
[3, 1893, 1196, 1604, 126, 148, 2, 705, 220];85;В мастерской можно проводить демонтаж, замену и использование изделия.;DMC-URALM-D-00-00-00-00A-022A-A
[3, 2511, 1505, 19, 126, 267, 2, 775, 226];85;В мастерской можно проводить демонтаж, замену и использование изделия.;DMC-URALM-D-00-00-00-00A-022A-A
[1894];86;Центровка;DMC-URALM-D-00-00-00-00A-022A-A
[2512];86;Центровка;DMC-URALM-D-00-00-00-00A-022A-A
[2827];87;Несекретно;DMC-URALM-D-00-00-00-00A-022A-A
[3479];87;Несекретно;DMC-URALM-D-00-00-00-00A-022A-A
[1895, 121, 516, 211];88;LOSP - Перечень запасных частей;DMC-URALM-D-00-00-00-00A-022A-A
[1895, 135, 559, 217];88;LOSP - Перечень запасных частей;DMC-URALM-D-00-00-00-00A-022A-A
[22, 1197, 1896, 1897, 702, 104, 25, 20];89;Attribute significantParaDataType - Paragraph significant data type (Chap 3.9.6.1, Table 53);DMC-URALM-D-00-00-00-00A-022A-A
[148];90;Замена;DMC-URALM-D-00-00-00-00A-022A-A
[238];90;Замена;DMC-URALM-D-00-00-00-00A-022A-A
[2828, 884];91;Межремонтный период;DMC-URALM-D-00-00-00-00A-022A-A
[3480, 884];91;Межремонтный период;DMC-URALM-D-00-00-00-00A-022A-A
[1198, 204, 1898, 220];92;Компоненты деталей конечного изделия;DMC-URALM-D-00-00-00-00A-022A-A
[1198, 266, 2513, 226];92;Компоненты деталей конечного изделия;DMC-URALM-D-00-00-00-00A-022A-A
[255, 175, 52, 892, 175, 1199, 57, 2829, 2830, 7, 577, 706];93;Набор материалов или отдельный материал, который не создавался специально для сервисного бюллетеня;DMC-URALM-D-00-00-00-00A-022A-A
[255, 175, 53, 979, 1506, 297, 57, 3481, 1104, 7, 602, 776];93;Набор материалов или отдельный материал, который не создавался специально для сервисного бюллетеня;DMC-URALM-D-00-00-00-00A-022A-A
[2831, 2832];94;Графическое изображение;DMC-URALM-D-00-00-00-00A-022A-A
[3482, 3483];94;Графическое изображение;DMC-URALM-D-00-00-00-00A-022A-A
[1200, 521];95;HIGH - Изменения;DMC-URALM-D-00-00-00-00A-022A-A
[1200, 560];95;HIGH - Изменения;DMC-URALM-D-00-00-00-00A-022A-A
[22, 1201, 893, 894, 510, 104, 25, 20];96;Attribute functionalItemRefType - Functional Item Reference Type (Chap 3.9.6.1, Table 20);DMC-URALM-D-00-00-00-00A-022A-A
[521, 445, 254, 1605, 1606, 658, 445, 254, 1605];97;Изменение сведений о применимости (изменены только сведения о применимости);DMC-URALM-D-00-00-00-00A-022A-A
[560, 468, 254, 1756, 1757, 679, 468, 254, 1756];97;Изменение сведений о применимости (изменены только сведения о применимости);DMC-URALM-D-00-00-00-00A-022A-A
[1202];98;//@genericPropertyType;DMC-URALM-D-00-00-00-00A-022A-A
[2833, 220];99;Подсоединяемое изделие;DMC-URALM-D-00-00-00-00A-022A-A
[3484, 226];99;Подсоединяемое изделие;DMC-URALM-D-00-00-00-00A-022A-A
[1899];100;PDF417;DMC-URALM-D-00-00-00-00A-022A-A
[22, 1203, 25, 20];101;Attribute sbTimeComplianceType (Chap 3.9.6.1, Table 49);DMC-URALM-D-00-00-00-00A-022A-A
[707];102;Параметр;DMC-URALM-D-00-00-00-00A-022A-A
[2834, 521, 1171];103;Затронутая изменениями документация;DMC-URALM-D-00-00-00-00A-022A-A
[3485, 560, 1497];103;Затронутая изменениями документация;DMC-URALM-D-00-00-00-00A-022A-A
[341, 213];104;Промежуточный низкий;DMC-URALM-D-00-00-00-00A-022A-A
[356, 496];104;Промежуточный низкий;DMC-URALM-D-00-00-00-00A-022A-A
[481, 4, 300, 375, 614, 1204];105;Ссылка на главный автомат защиты сети;DMC-URALM-D-00-00-00-00A-022A-A
[561, 4, 314, 375, 639, 1507];105;Ссылка на главный автомат защиты сети;DMC-URALM-D-00-00-00-00A-022A-A
[895, 704, 3, 121, 895];106;Термин (кандидат в перечень терминов);DMC-URALM-D-00-00-00-00A-022A-A
[895, 704, 3, 135, 895];106;Термин (кандидат в перечень терминов);DMC-URALM-D-00-00-00-00A-022A-A
[1205];107;//@pmEntryType;DMC-URALM-D-00-00-00-00A-022A-A
[1607];108;Жёлтый;DMC-URALM-D-00-00-00-00A-022A-A
[1758];108;Жёлтый;DMC-URALM-D-00-00-00-00A-022A-A
[1900, 21];109;Выбрать из;DMC-URALM-D-00-00-00-00A-022A-A
[2514, 21];109;Выбрать из;DMC-URALM-D-00-00-00-00A-022A-A
[884, 2835];110;Период отсрочки;DMC-URALM-D-00-00-00-00A-022A-A
[884, 3486];110;Период отсрочки;DMC-URALM-D-00-00-00-00A-022A-A
[2836, 577, 706, 477, 374, 480];111;Обязательно (сервисный бюллетень должен быть выполнен);DMC-URALM-D-00-00-00-00A-022A-A
[2515, 602, 776, 2496, 556, 599];111;Обязательно (сервисный бюллетень должен быть выполнен);DMC-URALM-D-00-00-00-00A-022A-A
[578, 615, 416, 516, 204];112;Вспомогательный код снятой запасной детали;DMC-URALM-D-00-00-00-00A-022A-A
[603, 615, 495, 559, 1100];112;Вспомогательный код снятой запасной детали;DMC-URALM-D-00-00-00-00A-022A-A
[22, 1186, 1206, 104, 25, 20];113;Attribute limitUnitType - Limit type (Chap 3.9.6.1, Table 28);DMC-URALM-D-00-00-00-00A-022A-A
